,color,hex
0,RED,#64ECD6
1,BROWN,#344C46
2,PINK,#06A5AB
3,RED,#BC4C67
4,RED,#AE5BAC
5,GREEN,#6EC928
6,ORANGE,#DBFB24
7,YELLOW,#590BCC
8,BLUE,#57BD48
9,YELLOW,#5B8F25
10,BROWN,#93C93B
11,YELLOW,#4B0AC1
12,GREEN,#EA6C5A
13,BLACK,#C36410
14,RED,#056C2E
15,BLUE,#CEDE75
16,GREEN,#6851C9
17,BLUE,#B26C15
18,PINK,#D41768
19,RED,#81F5A5
20,WHITE,#004B06
21,YELLOW,#8FBEBF
22,BLACK,#D5A067
23,PINK,#31D15C
24,RED,#E2F9E0
25,BROWN,#CAA2D8
26,BLACK,#9C054E
27,ORANGE,#37399C
28,PINK,#5DE666
29,BLACK,#63268C
30,PURPLE,#C6BFC0
31,GREEN,#DA1715
32,GREEN,#2C58EC
33,YELLOW,#6051E8
34,GREEN,#C31DD5
35,RED,#6DE72F
36,RED,#3380FA
37,PURPLE,#29A4DB
38,RED,#926E91
39,PINK,#78A34B
40,WHITE,#373A2D
41,PINK,#BB68D4
42,GREEN,#E48FB5
43,WHITE,#15EC9A
44,ORANGE,#64F367
45,RED,#B10DE0
46,ORANGE,#81A5E9
47,BROWN,#DAFCB6
48,GREEN,#7F352F
49,WHITE,#554DA9
50,PURPLE,#5326CE
51,ORANGE,#83DAAB
52,PINK,#5A6E68
53,ORANGE,#A3F506
54,BLACK,#E6AE9B
55,WHITE,#6ADEB4
56,PINK,#4C5222
57,ORANGE,#F7027D
58,BLUE,#A2810D
59,GREEN,#BBB57F
60,RED,#F66C9B
61,ORANGE,#5929C9
62,RED,#FE5435
63,ORANGE,#04FB0E
64,PINK,#828BC5
65,RED,#567460
66,ORANGE,#67F2C2
67,PINK,#E8B9D6
68,BLUE,#410207
69,BLACK,#CAF0DE
70,RED,#86A610
71,PINK,#C87614
72,BROWN,#D98C75
73,ORANGE,#D781AC
74,WHITE,#5212F8
75,GREEN,#C82FF7
76,ORANGE,#AD9201
77,GREEN,#08A328
78,ORANGE,#9BD1E5
79,PINK,#7F2D05
80,YELLOW,#66B5C1
81,YELLOW,#3D30FB
82,ORANGE,#299D73
83,RED,#53AFEB
84,WHITE,#00CBCA
85,YELLOW,#1E21E7
86,YELLOW,#E3E847
87,ORANGE,#4D61BC
88,GREY,#0FA43C
89,WHITE,#388366
90,WHITE,#1A1079
91,PURPLE,#1EC56E
92,GREEN,#7226DB
93,ORANGE,#BD87D5
94,RED,#ECA9AD
95,ORANGE,#E55E87
96,YELLOW,#409A58
97,YELLOW,#7F1934
98,RED,#513D33
99,WHITE,#04CC6C
100,BLACK,#93B46E
101,PURPLE,#DEEA50
102,BROWN,#15B971
103,PURPLE,#E64A3F
104,YELLOW,#7D49ED
105,PURPLE,#C6BFC0
106,YELLOW,#A2E8F7
107,YELLOW,#31ED9E
108,ORANGE,#4326FB
109,BLUE,#FEA9CC
110,PINK,#FA8590
111,RED,#616ACC
112,PURPLE,#568B41
113,ORANGE,#9BD1E5
114,WHITE,#A1852B
115,RED,#67DDCE
116,YELLOW,#17FF76
117,PINK,#496FBD
118,BLUE,#9EE0A7
119,GREY,#0ABC7F
120,ORANGE,#1EB7FF
121,BLACK,#E9EBD2
122,RED,#27AAA2
123,ORANGE,#0C6D09
124,RED,#020EC2
125,YELLOW,#972D42
126,GREEN,#241295
127,WHITE,#8DAA3D
128,PURPLE,#822697
129,RED,#C0DC3A
130,BLUE,#ABAC16
131,YELLOW,#D273FA
132,BLACK,#5BF0D6
133,WHITE,#8BCE72
134,BROWN,#A0E231
135,WHITE,#C2A568
136,PINK,#C08049
137,YELLOW,#AC4CD0
138,BLUE,#54D880
